,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
35,CQVOLTETAS6BZX_1-5_BOSS,0.00000,0,0.00000,0,5192,5.76836,0,0.00000,30121.11111,27109000,0,65289,72.54300,0,0.00000,81572.22222,73415000,0.00000,20210426001500
36,CQVOLTETAS6BZX_1-6_BOSS,0.00000,0,0.00000,0,61,0.06755,0,0.00000,1038.88889,935000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
37,CQVOLTETAS3BZX_1-6_BOSS,0.00000,0,0.00000,0,792,0.87958,0,0.00000,3658.88889,3293000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
38,CQVOLTETAS3BZX_1-5_BOSS,0.00000,0,0.00000,0,6415,7.12804,0,0.00000,36017.77778,32416000,0,66730,74.14481,0,0.00000,85656.66667,77091000,0.00000,20210426001500
39,CQVOLTETAS3BZX_3-5_DRA,0.00000,0,0.00000,0,2337577,2597.30810,0,0.00000,2568831.11111,2311948000,0,1101101,1223.44579,0,0.00000,1425826.66667,1283244000,0.00000,20210426001500
40,CQVOLTETAS3BZX_3-6_DRA,0.00000,0,0.00000,0,58,0.06451,0,0.00000,1032.22222,929000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
41,CQVOLTETAS4BZX_1-5_BOSS,0.00000,0,0.00000,0,5931,6.59020,0,0.00000,32844.44444,29560000,0,65367,72.63031,0,0.00000,81755.55556,73580000,0.00000,20210426001500
42,CQVOLTETAS4BZX_3-6_DRA,0.00000,0,0.00000,0,58,0.06486,0,0.00000,1037.77778,934000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
43,CQVOLTETAS4BZX_1-6_BOSS,0.00000,0,0.00000,0,796,0.88449,0,0.00000,3675.55556,3308000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
44,CQVOLTETAS4BZX_3-5_DRA,0.00000,0,0.00000,0,2343916,2604.35117,0,0.00000,2577447.77778,2319703000,0,1109792,1233.10271,0,0.00000,1435016.66667,1291515000,0.00000,20210426001500
45,CQVOLTETAS4BZX_4-6_CSCF,0.00000,0,0.00000,0,58,0.06444,0,0.00000,1031.11111,928000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
46,CQVOLTETAS4BZX_4-5_CSCF,0.00000,0,0.00000,0,165001,183.33436,0,0.00000,475084.44444,427576000,0,161884,179.87102,0,0.00000,395856.66667,356271000,0.00000,20210426001500
