,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
61,CQISBG8BZX_4-9_DRA,0.00000,0,0.00000,0,633,0.70292,0,0.00000,11246.66667,10122000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
62,CQISBG8BZX_3-13_SIP4,0.00000,0,0.00000,0,635,0.70528,0,0.00000,11284.44444,10156000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
63,CQISBG5BZX_4-10_DRA,0.00000,0,0.00000,0,526205,584.67186,0,0.00000,1623603.33333,1461243000,0,647936,719.92919,0,0.00000,1327662.22222,1194896000,0.00000,20210426001500
64,CQISBG8BZX_3-11_SIP4,0.00000,0,0.00000,0,1782027,1980.03036,0,0.00000,1864838.88889,1678355000,0,1916735,2129.70540,0,0.00000,2499591.11111,2249632000,0.00000,20210426001500
65,CQISBG8BZX_3-6_SIP2,0.00000,0,0.00000,0,633,0.70333,0,0.00000,11253.33333,10128000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
66,CQISBG6BZX_3-6_SIP2,0.00000,0,0.00000,0,58,0.06479,0,0.00000,1036.66667,933000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
67,CQISBG8BZX_3-5_SIP2,0.00000,0,0.00000,0,727813,808.68125,0,0.00000,986902.22222,888212000,0,2182944,2425.49317,0,0.00000,2171516.66667,1954365000,0.00000,20210426001500
68,CQISBG6BZX_3-5_SIP2,0.00000,0,0.00000,0,688070,764.52264,0,0.00000,918938.88889,827045000,0,1984998,2205.55288,0,0.00000,1990054.44444,1791049000,0.00000,20210426001500
69,CQISBG5BZX_3-11_SIP4,0.00000,0,0.00000,0,58,0.06465,0,0.00000,1034.44444,931000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
70,CQISBG5BZX_3-13_SIP4,0.00000,0,0.00000,0,1698805,1887.56146,0,0.00000,1785535.55556,1606982000,0,1896773,2107.52581,0,0.00000,2512620.00000,2261358000,0.00000,20210426001500
71,CQISBG6BZX_3-14_SIP3,0.00000,0,0.00000,0,58,0.06410,0,0.00000,1025.55556,923000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
72,CQISBG6BZX_3-12_SIP3,0.00000,0,0.00000,0,29140,32.37733,0,0.00000,39751.11111,35776000,0,1195473,1328.30377,0,0.00000,1229523.33333,1106571000,0.00000,20210426001500
73,CQISBG7BZX_3-5_SIP2,0.00000,0,0.00000,0,729560,810.62230,0,0.00000,989950.00000,890955000,0,2192891,2436.54513,0,0.00000,2180688.88889,1962620000,0.00000,20210426001500
74,CQISBG7BZX_3-6_SIP2,0.00000,0,0.00000,0,563,0.62500,0,0.00000,10000.00000,9000000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
75,CQISBG6BZX_3-13_SIP4,0.00000,0,0.00000,0,58,0.06424,0,0.00000,1027.77778,925000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
76,CQISBG6BZX_3-11_SIP4,0.00000,0,0.00000,0,1571156,1745.72942,0,0.00000,1657402.22222,1491662000,0,1852867,2058.74122,0,0.00000,2467126.66667,2220414000,0.00000,20210426001500
77,CQISBG5BZX_3-10_SIP1,0.00000,0,0.00000,0,2639163,2932.40314,0,0.00000,3422812.22222,3080531000,0,2993567,3326.18525,0,0.00000,3064290.00000,2757861000,0.00000,20210426001500
78,CQISBG7BZX_3-13_SIP4,0.00000,0,0.00000,0,562,0.62486,0,0.00000,9997.77778,8998000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
79,CQISBG9BZX_3-10_SIP1,0.00000,0,0.00000,0,635,0.70500,0,0.00000,11280.00000,10152000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
80,CQISBG7BZX_3-11_SIP4,0.00000,0,0.00000,0,1784413,1982.68148,0,0.00000,1869501.11111,1682551000,0,1917488,2130.54185,0,0.00000,2501543.33333,2251389000,0.00000,20210426001500
81,CQISBG8BZX_4-10_DRA,0.00000,0,0.00000,0,540075,600.08364,0,0.00000,1681103.33333,1512993000,0,665738,739.70899,0,0.00000,1363453.33333,1227108000,0.00000,20210426001500
82,CQISBG6BZX_4-9_DRA,0.00000,0,0.00000,0,58,0.06444,0,0.00000,1031.11111,928000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
83,CQISBG9BZX_3-11_SIP4,0.00000,0,0.00000,0,635,0.70521,0,0.00000,11283.33333,10155000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
